時間戳記,性別,年齡,職業身分,是否遭遇釣魚,查看網址習慣,釣魚攻擊的認識程度,相似程度(組一),網站判斷(組一),相似程度(組二),網站判斷(組二),相似程度(組三),網站判斷(組三),相似程度(組四),網站判斷(組四),用戶教育效果 ,釣魚警覺性  
3/2/2025 2:01:06,男,18 - 24,學生,是，並且有受害,5,5,5,不確定,5,不確定,5,不確定,4,圖七,5,會馬上改密碼，防止帳號被盜
3/2/2025 2:10:17,男,18 - 24,學生,是，但沒有受害,5,4,4,不確定,4,不確定,4,圖六,5,圖七,5,會馬上改密碼，防止帳號被盜
3/2/2025 12:42:34,男,18 - 24,學生,是，但沒有受害,1,2,4,圖一,5,不確定,3,圖六,3,圖八,4,不會特別在意，繼續使用網站
3/2/2025 15:19:43,男,18 - 24,學生,是，但沒有受害,4,4,5,不確定,5,不確定,4,圖六,4,圖八,4,會覺得奇怪，但不一定會改密碼
3/2/2025 15:27:11,男,18 - 24,學生,是，並且有受害,2,2,5,圖一,5,不確定,5,不確定,1,圖八,5,會覺得奇怪，但不一定會改密碼
3/2/2025 15:29:15,女,18 - 24,學生,是，並且有受害,3,4,5,不確定,4,圖三,5,不確定,3,圖八,4,會馬上改密碼，防止帳號被盜
3/2/2025 15:33:52,男,18 - 24,學生,是，但沒有受害,5,4,3,圖二,4,圖四,2,圖六,3,圖八,5,會馬上改密碼，防止帳號被盜
3/2/2025 15:45:33,男,18 - 24,學生,是，但沒有受害,1,1,5,圖一,5,不確定,4,圖六,4,圖八,5,會覺得奇怪，但不一定會改密碼
3/2/2025 15:50:52,女,>  44,退休,從未遇過 / 不確定,3,3,4,不確定,3,不確定,3,不確定,3,不確定,5,會覺得奇怪，但不一定會改密碼
3/2/2025 16:04:12,男,18 - 24,學生,是，但沒有受害,2,4,4,圖一,5,不確定,4,圖六,4,圖八,5,會馬上改密碼，防止帳號被盜
3/2/2025 16:11:38,男,18 - 24,學生,是，並且有受害,1,1,5,不確定,5,不確定,1,圖六,1,圖八,5,會馬上改密碼，防止帳號被盜
3/2/2025 16:18:36,女,>  44,就業,是，但沒有受害,1,1,5,不確定,5,不確定,5,不確定,3,圖八,4,會覺得奇怪，但不一定會改密碼
3/2/2025 16:27:54,女,18 - 24,學生,是，但沒有受害,3,3,5,不確定,5,不確定,4,圖六,3,圖八,5,不會特別在意，繼續使用網站
3/2/2025 16:28:55,女,18 - 24,學生,是，但沒有受害,1,4,5,不確定,5,不確定,5,圖六,5,圖八,4,會覺得奇怪，但不一定會改密碼
3/2/2025 16:34:17,女,25 - 34,就業,是，但沒有受害,4,3,5,不確定,5,不確定,5,不確定,4,圖八,4,會馬上改密碼，防止帳號被盜
3/2/2025 16:38:38,男,18 - 24,學生,是，但沒有受害,5,4,5,不確定,5,不確定,5,圖六,5,圖八,5,會馬上改密碼，防止帳號被盜
3/2/2025 16:38:50,男,>  44,就業,是，但沒有受害,2,2,1,圖一,4,不確定,2,圖五,5,不確定,4,會馬上改密碼，防止帳號被盜
3/2/2025 16:39:01,女,< 18,學生,是，但沒有受害,2,1,5,圖一,5,不確定,5,不確定,5,圖八,5,不會特別在意，繼續使用網站
3/2/2025 16:40:28,女,>  44,就業,是，但沒有受害,5,5,5,不確定,5,不確定,5,不確定,5,不確定,5,會馬上改密碼，防止帳號被盜
3/2/2025 16:46:25,女,25 - 34,就業,是，但沒有受害,3,3,4,圖一,5,不確定,4,不確定,2,圖八,5,會覺得奇怪，但不一定會改密碼
3/2/2025 16:49:33,男,18 - 24,學生,從未遇過 / 不確定,1,2,4,不確定,5,不確定,5,不確定,5,不確定,2,會覺得奇怪，但不一定會改密碼
3/2/2025 16:50:12,男,25 - 34,就業,從未遇過 / 不確定,5,5,4,圖一,5,不確定,4,圖六,5,圖八,5,會馬上改密碼，防止帳號被盜
3/2/2025 16:55:58,女,18 - 24,學生,是，但沒有受害,4,4,3,圖二,4,不確定,4,圖六,4,不確定,5,不會特別在意，繼續使用網站
3/2/2025 17:03:10,女,25 - 34,學生,從未遇過 / 不確定,4,2,4,圖一,4,圖三,4,圖六,4,圖八,5,會覺得奇怪，但不一定會改密碼
3/2/2025 17:06:51,男,>  44,就業,是，但沒有受害,2,3,5,不確定,5,不確定,5,不確定,5,不確定,3,會覺得奇怪，但不一定會改密碼
3/2/2025 17:24:45,女,>  44,就業,從未遇過 / 不確定,1,1,5,不確定,5,不確定,5,不確定,5,不確定,5,會馬上改密碼，防止帳號被盜
3/2/2025 17:28:42,男,< 18,學生,從未遇過 / 不確定,1,4,5,不確定,5,不確定,5,不確定,4,圖八,5,會覺得奇怪，但不一定會改密碼
3/2/2025 17:33:35,男,>  44,就業,是，並且有受害,5,3,5,圖一,5,不確定,5,不確定,2,圖八,4,會覺得奇怪，但不一定會改密碼
3/2/2025 17:42:45,男,18 - 24,學生,是，但沒有受害,5,4,4,圖二,5,不確定,4,圖六,4,圖八,5,會覺得奇怪，但不一定會改密碼
3/2/2025 18:13:47,女,18 - 24,學生,是，但沒有受害,4,3,4,不確定,4,不確定,4,圖六,3,圖八,4,會覺得奇怪，但不一定會改密碼
3/2/2025 18:33:47,男,18 - 24,學生,是，並且有受害,1,3,4,不確定,5,不確定,4,圖五,4,圖八,5,會覺得奇怪，但不一定會改密碼
3/2/2025 18:35:36,男,18 - 24,學生,從未遇過 / 不確定,1,1,5,不確定,5,不確定,5,不確定,5,不確定,5,不會特別在意，繼續使用網站
3/2/2025 18:41:03,男,>  44,就業,是，並且有受害,4,3,5,圖二,4,不確定,3,圖五,5,不確定,3,會覺得奇怪，但不一定會改密碼
3/2/2025 18:41:17,男,18 - 24,學生,是，並且有受害,2,4,5,圖二,5,不確定,1,圖六,1,圖八,5,會馬上改密碼，防止帳號被盜
3/2/2025 18:41:30,女,< 18,學生,是，但沒有受害,3,4,4,不確定,3,不確定,3,不確定,3,不確定,4,會覺得奇怪，但不一定會改密碼
3/2/2025 18:43:51,男,18 - 24,學生,是，並且有受害,3,5,4,圖一,4,圖四,4,不確定,4,不確定,5,會馬上改密碼，防止帳號被盜
3/2/2025 18:46:33,男,>  44,就業,從未遇過 / 不確定,5,3,5,圖一,5,不確定,4,圖五,4,圖八,5,會馬上改密碼，防止帳號被盜
3/2/2025 19:03:45,女,18 - 24,學生,從未遇過 / 不確定,2,3,4,不確定,5,圖三,4,圖五,2,圖八,5,會馬上改密碼，防止帳號被盜
3/2/2025 19:20:53,女,18 - 24,學生,從未遇過 / 不確定,1,2,5,不確定,5,不確定,5,不確定,3,不確定,3,會覺得奇怪，但不一定會改密碼
3/2/2025 19:23:46,男,18 - 24,學生,是，但沒有受害,3,3,4,圖一,4,圖三,4,圖六,4,圖八,4,會覺得奇怪，但不一定會改密碼
3/2/2025 19:24:24,女,18 - 24,學生,從未遇過 / 不確定,3,2,5,不確定,5,不確定,5,不確定,5,不確定,4,會覺得奇怪，但不一定會改密碼
3/2/2025 19:26:40,男,25 - 34,學生,從未遇過 / 不確定,3,3,5,不確定,5,不確定,4,圖六,3,圖八,4,會覺得奇怪，但不一定會改密碼
3/2/2025 19:36:56,女,18 - 24,學生,從未遇過 / 不確定,1,2,5,不確定,5,不確定,1,圖六,1,圖八,5,會覺得奇怪，但不一定會改密碼
3/2/2025 19:53:21,男,18 - 24,學生,從未遇過 / 不確定,2,4,4,圖一,4,圖四,4,圖六,4,圖八,5,會覺得奇怪，但不一定會改密碼
3/2/2025 20:13:33,女,>  44,就業,是，但沒有受害,2,1,5,不確定,5,不確定,4,圖五,4,圖八,5,會覺得奇怪，但不一定會改密碼
3/2/2025 20:19:22,男,25 - 34,學生,是，但沒有受害,4,3,2,圖一,4,不確定,2,圖六,1,圖八,5,會馬上改密碼，防止帳號被盜
3/2/2025 20:27:34,男,18 - 24,學生,從未遇過 / 不確定,3,2,4,不確定,4,不確定,4,不確定,3,圖八,4,會覺得奇怪，但不一定會改密碼
3/2/2025 20:37:33,女,18 - 24,學生,是，並且有受害,1,2,4,不確定,5,圖四,4,圖六,4,圖七,4,會馬上改密碼，防止帳號被盜
3/2/2025 20:37:37,男,25 - 34,學生,是，但沒有受害,4,4,2,圖一,5,不確定,2,圖五,5,不確定,5,會覺得奇怪，但不一定會改密碼
3/2/2025 20:51:13,女,< 18,學生,是，但沒有受害,2,2,5,不確定,5,圖三,5,不確定,5,不確定,5,會覺得奇怪，但不一定會改密碼
3/2/2025 20:56:18,男,18 - 24,學生,從未遇過 / 不確定,1,1,1,圖一,5,不確定,1,圖五,5,不確定,5,會覺得奇怪，但不一定會改密碼
3/2/2025 20:57:15,女,>  44,退休,從未遇過 / 不確定,1,1,5,不確定,4,不確定,4,不確定,4,圖八,4,不會特別在意，繼續使用網站
3/2/2025 20:58:54,男,25 - 34,就業,是，但沒有受害,5,4,3,圖一,4,圖四,2,圖六,2,圖八,5,會馬上改密碼，防止帳號被盜
3/2/2025 21:19:53,女,>  44,就業,從未遇過 / 不確定,2,2,5,不確定,5,不確定,5,不確定,5,圖八,2,會覺得奇怪，但不一定會改密碼
3/2/2025 21:22:37,男,18 - 24,學生,是，但沒有受害,2,4,4,不確定,5,不確定,3,圖六,3,圖八,5,會覺得奇怪，但不一定會改密碼
3/2/2025 21:23:03,女,18 - 24,學生,從未遇過 / 不確定,1,3,5,圖一,5,圖四,5,不確定,3,圖八,5,會覺得奇怪，但不一定會改密碼
